"genus","tax_novel","abund","colour","pred","LCB0.025","UCB0.975"
"Acropora",0,-0.00822059467801837,"grey",-0.00826520181768526,-0.0265558754694784,0.010225271358693
"Anacropora",0,-0.00912104792165179,"grey",-0.00952356270346171,-0.0677796408115428,0.0492837757931993
"Cyphastrea",0,-0.0237938927153861,"grey",-0.0234422214700949,-0.0775406273384791,0.031727800095603
"Echinopora",0,0.00833853677414688,"grey",0.00789393154267737,-0.0371526388374778,0.0525416011686187
"Galaxea",0,-0.0028430527426746,"grey",-0.00307456581770651,-0.0337102415052005,0.0270550503905425
"Goniopora",0,0.0410673826650668,"grey",0.0411657405083332,0.0119450036460092,0.0711520753089967
"Heliopora",0,-0.00561370770072379,"grey",-0.00552505681702341,-0.0629845740513374,0.0509997705718513
"Millepora",0,0.00802838368607396,"grey",0.00797727278083456,-0.0244091048590467,0.0409887116022347
"Montipora",0,-0.00427406027171987,"grey",-0.00409056417265857,-0.0281663671800938,0.0206258450542616
"Pavona",0,-0.0174663150903984,"grey",-0.0174193881637216,-0.0421459035361412,0.00747177653969086
"Pocillopora",0,0.00613454898057024,"grey",0.00622344403049216,-0.0239507482793815,0.0363922540407238
"Porites",0,0.0125029236417471,"grey",0.0123520360140972,-0.0142764239799431,0.0394363118192514
"Seriatopora",0,-0.00259356014296731,"grey",-0.00251733851763723,-0.0248060443016305,0.0192301269143293
"Turbinaria",0,-0.00502569655363403,"grey",-0.00568371207970086,-0.0521213104484839,0.0428447619332366
"Acropora",1,-0.197211605627075,"orange",-0.197530294491191,-0.295547342093321,-0.0973492087740301
"Anacropora",1,-0.112262303426419,"orange",-0.112869656363327,-0.38750544090348,0.1587192599699
"Cyphastrea",1,0.329168456998518,"orange",0.330296086245097,-0.012160625388983,0.664519438402662
"Echinopora",1,-0.135380822410299,"orange",-0.13410430779779,-0.371732364781422,0.105457694573399
"Galaxea",1,0.154761958610745,"orange",0.154954447263721,0.0120363752954221,0.299362936775214
"Goniopora",1,-0.390639008400601,"orange",-0.387905939283648,-0.560215709632932,-0.221067715604335
"Heliopora",1,0.785551674612309,"orange",0.787828867362234,0.448870319070097,1.12414256522697
"Millepora",1,0.369817892212372,"orange",0.369408527198973,0.177672880120897,0.566825571321292
"Montipora",1,0.0945164102000312,"orange",0.0951924145314097,-0.0297872292002631,0.215155472132949
"Pavona",1,-0.174710897127898,"orange",-0.173877365335665,-0.32521035129004,-0.0238511640905543
"Pocillopora",1,0.17139829056409,"orange",0.171943079586799,0.0128487202166206,0.328478642910439
"Porites",1,0.126663354345324,"orange",0.125317782870595,-0.0452816339985753,0.290426168232971
"Seriatopora",1,0.00433965745286777,"orange",0.00407791326452439,-0.13628183471487,0.144350986102945
"Turbinaria",1,0.0549777571692956,"orange",0.0567407794731648,-0.277415461097425,0.400192108925022
