"","Estimate","Std. Error","t value"
"genusAcropora",-0.00822059467801837,0.00936426558375987,-0.877868595725763
"genusAnacropora",-0.00912104792165179,0.029332123938672,-0.310957636096254
"genusCyphastrea",-0.0237938927153861,0.0277665993732261,-0.856924983702878
"genusEchinopora",0.00833853677414688,0.0225255355833382,0.370181509926662
"genusGalaxea",-0.0028430527426746,0.0155031368300369,-0.183385644714575
"genusGoniopora",0.0410673826650668,0.0150241593955776,2.73342298785481
"genusHeliopora",-0.00561370770072379,0.029332123938672,-0.191384289540744
"genusMillepora",0.00802838368607396,0.0170173184580426,0.471777248916657
"genusMontipora",-0.00427406027171987,0.0127532720634073,-0.335134407112927
"genusPavona",-0.0174663150903984,0.0126839602889817,-1.37703955960593
"genusPocillopora",0.00613454898057024,0.0153182021383381,0.400474476388898
"genusPorites",0.0125029236417471,0.0137500169239038,0.909302418385489
"genusSeriatopora",-0.00259356014296731,0.0109846318308511,-0.236108062874088
"genusTurbinaria",-0.00502569655363403,0.0243650920659043,-0.206266265690283
"tax_novel",-0.188991010949057,0.0516605260734347,-3.65832532716389
"genusAnacropora:tax_novel",0.0858497554442897,0.152701584236283,0.56220605616933
"genusCyphastrea:tax_novel",0.541953360662961,0.181996372392246,2.97782507167188
"genusEchinopora:tax_novel",0.0452716517646112,0.134229849482148,0.337269630706337
"genusGalaxea:tax_novel",0.346596022302477,0.0911375086944313,3.8030008419975
"genusGoniopora:tax_novel",-0.242715380116611,0.101564052262489,-2.38977644855406
"genusHeliopora:tax_novel",0.980156393262089,0.182241787244137,5.37832957020466
"genusMillepora:tax_novel",0.550780519475355,0.113369723786172,4.8582681608556
"genusMontipora:tax_novel",0.287781481420808,0.0823964439667996,3.49264443422783
"genusPavona:tax_novel",0.0317464289115568,0.09362836064247,0.339068511866655
"genusPocillopora:tax_novel",0.354254752532577,0.0974661688179342,3.63464324933425
"genusPorites:tax_novel",0.303151441652633,0.101383402546184,2.99014862432276
"genusSeriatopora:tax_novel",0.195924228544892,0.0879580563989261,2.22747337272091
"genusTurbinaria:tax_novel",0.248994464671986,0.181508548654226,1.37180571669007
